Date Coord-System Altitude Latitude Longitude D_deg D_min I_deg I_min H_nT X_nT Y_nT Z_nT F_nT dD_min dI_min dH_nT dX_nT dY_nT dZ_nT dF_nT
2024.0 M M339.0 58 -117    16d 19m    77d 15m   12611.6  12103.8   3542.7  55714.6  57124.1    -6.6      -3.1         30.3     35.9    -14.6   -102.2    -93.0
2024.0 M M114.0 45 -75   -13d  1m    69d 18m   18828.3  18344.5  -4240.8  49829.5  53268.0     4.1      -6.0         56.5     60.1      9.3   -114.1    -86.8
2024.0 M M429.0 53 -105     8d 57m    75d 43m   14037.9  13867.2   2182.3  55128.3  56887.5    -4.0      -3.5         34.1     36.2    -10.9   -103.7    -92.1
2024.0 M M571.0 56 -117    15d 51m    75d 55m   13784.9  13261.1   3764.1  54965.9  56668.1    -6.3      -2.9         23.6     29.6    -17.7   -104.8    -95.9
2024.0 M M270.0 49 -98     3d 31m    73d 39m   15773.9  15744.2    967.4  53739.5  56006.7    -3.3      -4.0         35.2     36.1    -13.0   -109.6    -95.3
2024.0 M M4.0 49 -122    15d 30m    70d  1m   18322.0  17656.0   4894.9  50367.8  53596.7    -5.9      -1.8         -8.4      0.3    -32.6   -106.4   -102.9
2024.0 M M387.0 51 -90    -3d 35m    75d 11m   14498.2  14469.9   -906.6  54778.5  56664.7     0.7      -4.7         52.7     52.8     -0.4   -101.2    -84.3
2024.0 M M51.0 49 -64   -17d 37m    69d 60m   18197.0  17344.2  -5505.6  49974.4  53184.3    10.2      -5.4         58.7     72.4     33.9    -83.7    -58.5
2024.0 M M192.0 44 -78   -11d  9m    69d  6m   18990.6  18632.2  -3672.2  49710.1  53214.1     2.3      -5.9         52.7     54.1      2.1   -119.6    -92.9
2024.0 M M36.0 54 -130    17d 32m    72d  5m   16772.8  15993.9   5051.9  51874.6  54518.8    -7.5      -1.9         -2.2      8.9    -35.4   -104.8   -100.4
2024.0 M M232.0 58 -111    13d 29m    78d 11m   11797.2  11471.7   2752.0  56362.6  57584.0    -4.9      -3.5         39.2     42.1     -7.3    -97.9    -87.8
2024.0 M M282.0 44 -79   -10d 33m    69d 15m   18890.6  18571.6  -3457.2  49871.8  53329.7     1.8      -5.9         51.7     52.7      0.4   -120.0    -93.9
2024.0 M M75.0 46 -71   -15d  0m    69d 14m   18823.8  18182.0  -4873.5  49659.3  53107.3     6.3      -6.0         58.9     65.9     18.2   -106.3    -78.5
2024.0 M M905.0 52 -113    13d 22m    73d 51m   15541.3  15120.2   3593.3  53690.7  55894.7    -5.5      -2.8         16.8     22.1    -20.3   -107.8    -98.8
2024.0 M M190.0 42 -82    -8d 13m    68d 11m   19595.3  19394.3  -2799.9  48936.6  52714.0    -0.4      -5.7         43.6     42.8     -8.6   -126.5   -101.2
2024.0 M M688.0 60 -128    18d 53m    76d 40m   13040.6  12339.0   4219.5  55013.3  56537.8    -9.7      -2.7         21.8     32.5    -27.9   -102.9    -95.1
2024.0 M M406.0 49 -94     0d 12m    73d 49m   15625.8  15625.7     56.8  53861.6  56082.4    -2.0      -4.3         42.3     42.4     -9.1   -108.8    -92.7
2024.0 M M929.0 49 -112    12d 21m    71d 53m   17068.7  16673.7   3650.8  52183.5  54904.1    -5.5      -2.6          8.4     14.0    -24.8   -109.8   -101.8
2024.0 M M71.0 46 -64   -16d 44m    67d 39m   19740.9  18905.3  -5682.7  48032.4  51930.9     8.7      -6.0         58.4     70.2     30.8    -96.5    -67.0
2024.0 M M323.0 50 -86    -6d 50m    74d 19m   15199.1  15091.3  -1807.5  54112.2  56206.3     2.0      -5.0         55.5     56.2      2.2   -102.4    -83.6
2024.0 M M26.0 49 -124    15d 50m    69d 36m   18570.6  17865.7   5067.9  49953.6  53293.8    -6.0      -1.7        -11.3     -2.0    -34.2   -105.2   -102.6
2024.0 M M578.0 50 -104     8d  0m    73d 46m   15654.8  15502.5   2178.9  53796.0  56027.6    -4.4      -3.4         26.8     29.4    -16.2   -108.7    -96.9
2024.0 M M200.0 48 -89    -3d 54m    73d  6m   16186.1  16148.5  -1103.0  53269.4  55674.2    -0.5      -4.8         47.9     47.6     -5.7   -110.3    -91.6
2024.0 M M670.0 55 -118    15d 56m    75d  4m   14507.8  13949.9   3984.5  54395.4  56296.9    -6.3      -2.8         18.6     25.2    -20.4   -106.2    -97.8
2024.0 M M499.0 51 -102     6d 38m    74d 41m   14915.7  14815.8   1723.2  54475.4  56480.5    -3.8      -3.7         33.6     35.3    -12.4   -106.4    -93.8
2024.0 M M549.0 52 -108    10d 46m    74d 38m   14934.7  14671.5   2791.7  54360.4  56374.6    -4.8      -3.2         25.7     29.2    -15.7   -106.6    -96.0
2024.0 M M152.0 48 -54   -17d 11m    67d  3m   19914.4  19025.9  -5882.1  47039.8  51081.6    11.5      -5.2         53.7     71.0     47.9    -70.0    -43.5
2024.0 M M62.0 46 -60   -17d  1m    66d 43m   20244.4  19358.3  -5923.9  47053.7  51223.9     9.7      -5.9         57.1     71.2     37.7    -89.5    -59.6
2024.0 M M546.0 53 -122    16d 28m    72d 55m   16207.1  15542.3   4594.3  52759.2  55192.4    -6.4      -2.3          5.4     13.8    -27.6   -107.4   -101.1
2024.0 M M66.0 74 -94   -15d 46m    86d 38m    3376.0   3249.0   -917.2  57292.7  57392.1    50.1      -3.7         60.4     71.5     31.0    -30.4    -26.8
2024.0 M M131.0 47 -69   -15d 57m    69d 34m   18576.4  17861.9  -5102.2  49859.5  53207.6     7.6      -5.9         59.7     68.7     23.2    -99.6    -72.5
2024.0 M M179.0 48 -72   -15d 11m    70d 56m   17662.1  17045.3  -4626.9  51102.0  54068.1     7.1      -5.7         60.3     67.8     19.5    -99.1    -73.9
2024.0 M M989.0 52 -114    13d 48m    73d 41m   15670.5  15218.3   3737.1  53539.6  55785.8    -5.6      -2.8         15.1     20.7    -21.2   -107.9    -99.3
2024.0 M M29.0 62 -92    -5d  3m    81d 49m    8296.8   8264.6   -730.8  57723.8  58317.0    10.4      -4.2         62.5     64.4     19.6    -65.1    -55.5
2024.0 M M348.0 46 -80   -10d 21m    70d 52m   17789.6  17500.0  -3196.6  51296.8  54293.9     2.4      -5.6         54.5     55.9      2.7   -113.7    -89.5
2024.0 M M242.0 45 -71   -14d 45m    68d 29m   19320.1  18683.5  -4918.6  48993.4  52665.2     5.8      -6.2         58.0     64.3     16.6   -110.3    -81.4
2024.0 M M109.0 45 -65   -16d 20m    67d  6m   20102.4  19291.5  -5652.0  47579.0  51651.4     7.9      -6.2         58.2     68.8     27.9   -102.2    -71.5
2024.0 M M206.0 60 -111    13d 49m    79d 25m   10630.0  10322.8   2537.3  56877.5  57862.3    -4.9      -3.7         45.0     47.3     -3.9    -93.7    -83.8
